"topic","frex","prob","lift","score"
1,"statistical, statistic, physics, probability, quantitative, regression, thermodynamic, hypothesis_testing, econometric, inference, quantum, stochastic, statistical_inference, particle, descriptive_statistic, linear_regression, correlation, random, correlation_regression, quantum_mechanic","analysis, method, datum, course, model, technique, theory, statistical, basic, introduction, statistic, physics, application, concept, topic, probability, problem, quantitative, science, measurement","bayesian_inference, bayesian, estimator, inferential_statistic, kinematic, linear_regression, quantum_mechanic, rigid_body, sas, thermodynamic, accuracy_stability, actuarial, angular_momentum, association_variance, atomic_nuclear, axiom_probability, bayes_theorem, binomial_normal, biostatistical, bivariate","statistical, datum, statistic, physics, probability, regression, quantitative, numerical, hypothesis_testing, analysis, thermodynamic, modeling, method, sampling, correlation_regression, computational, measurement, probability_statistic, econometric, linear_regression"
2,"education, school, teaching, educational, teacher, curriculum, practicum, instructional, learning, child, internship, educator, early_childhood, disability, classroom, literacy, pedagogy, learner, program, training","development, learning, education, course, student, program, school, experience, child, community, teaching, classroom, setting, assessment, strategy, skill, educational, teacher, service, evaluation","clock_hour, credential, exceptional_child, exceptional_learner, kindergarten, nature_formalized, outside_vendor, pupil, school_district, schooling, schools, site_supervisor, education, curricular, educational, educator, outreach, pedagogy, preschool, prospective_teacher","education, learning, school, teaching, child, teacher, educational, classroom, internship, practicum, instructional, assessment, curriculum, program, learner, disability, service, instruction, community, elementary"
3,"race, african, colonial, black, civil_war, africa, latin_america, empire, gender, racial, middle_east, asia, struggle, slavery, indigenous, nationalism, south, gender_sexuality, rise, war","history, american, course, culture, cultural, political, social, historical, world, society, gender, woman, development, modern, religion, identity, war, united_states, race, class","abolition, african_descent, african_diaspora, afro, amer, amer_civilizatn, asian_americans, atlantic_slave, bangladesh, blackness, bolivia, british_empire, collapse_soviet, colonist, columbus, communism, conquest, controversy_male, cuba, demise","american, political, gender, religion, woman, culture, war, history, cultural, african, religious, europe, race, european, politic, colonial, united_states, social, civil_war, nation"
4,"health, care, nursing, medical, disorder, nutrition, therapy, patient, drug, healthcare, fitness, aging, illness, epidemiology, wellness, nurse, psychopathology, clinical, food, mental","health, family, care, course, clinical, nursing, intervention, medical, food, treatment, disease, population, practice, issue, community, assessment, mental, physical, disorder, factor","athletic_injury, dysfunction, hiv, hlth, psychopathology, reaction_mechanism, wellness, abuse_aging, abuse_neglect, aerobic, aid_cpr, alcohol, aphasia, carbon_compound, chemical_dependency, childbearing, chronic, chronic_disease, communicable_disease, dementia","health, care, clinical, nursing, family, disease, nutrition, disorder, patient, therapy, medical, food, intervention, fitness, mental, organic_chemistry, drug, wellness, illness, aging"
5,"music, christian, church, dance, theatre, musical, ministry, theology, biblical, drama, god, theological, cinema, new_testament, renaissance, roman, jazz, theater, shakespeare, poet","art, literature, work, film, music, text, course, literary, study, historical, form, tradition, introduction, performance, novel, contemporary, major, period, genre, narrative","ballet, chord, lit, opera, poetic, shakespeare, accompaniment, alexander_great, ancient_greeks, ancient_israel, ancient_near, anne, artistry, athens, augustine, augustus, avant_garde, bach, beethoven, bible","literary, music, film, art, literature, poetry, genre, fiction, writer, tradition, dance, theatre, musical, christian, new_testament, medieval, theology, text, artist, church"
6,"research, graduate, undergraduate, week, senior, session, seminar, weekly, instructor, meeting, independent, paper, proposal, faculty_member, thesis, presentation, department, exam, capstone, final","student, research, course, class, study, discussion, seminar, topic, project, field, lecture, work, presentation, semester, opportunity, paper, method, reading, graduate, major","advisor, department_chair, faculty_member, faculty_mentor, faculty_sponsor, fall_winter, honor_advisor, honor_thesis, immediate_special, master_thesis, meeting, permission_instructor, prospectus, required, research, responsible_conduct, senior_honor, tutorial_tutorial, dissertation, doctoral","research, student, seminar, project, paper, graduate, thesis, reading, class, presentation, instructor, faculty, senior, week, faculty_member, literature, capstone, lecture, opportunity, proposal"
7,"calculus, mathematic, algebra, math, forensic, geometry, proof, linear_algebra, equation_inequality, algebraic, linear_quadratic, exponential_logarithmic, polynomial, counting, analytic_geometry, polynomial_rational, trigonometric_function, equation, mathematical, vector","course, function, topic, calculus, mathematic, mathematical, application, algebra, problem, equation, number, system, linear, theory, math, basic, real, concept, graph, fundamental","absolute_value, combinatoric, inverse, linear_quadratic, logarithm, precalculus, recurrence_relation, algebra, admin, algebra_combinatorial, algebraic, algebraic_expression, algebraic_topology, analytic_geom, conic_section, conjecture, curvature, derivative_integral, differential_equation, eigenvalue_eigenvector","calculus, algebra, equation, mathematic, mathematical, linear, math, graph, equation_inequality, theorem, function, differential_equation, linear_algebra, geometry, exponential_logarithmic, linear_quadratic, algebraic, vector, forensic, definite_integral"
8,"biology, chemistry, biological, genetic, earth, ecology, animal, cell, organism, molecular, evolutionary, geology, brain, biochemistry, astronomy, ecosystem, specie, soil, organ, gene","human, science, course, psychology, laboratory, scientific, biology, introduction, structure, chemistry, physical, biological, environmental, principle, topic, process, behavior, natural, major, study","acid_rain, bacteriology, biogeochemical_cycle, biol, biopsychology, biotechnology, climatology, conditioning_memory, coral_reef, dark_energy, entomology, fossil_record, genetics, genome, geochemical, geology_oceanography, groundwater, inorganic_organic, lipid, macromolecule","biology, psychology, chemistry, human, biological, laboratory, cell, earth, genetic, organism, chemical, ecology, molecular, animal, science, scientific, environmental, biochemistry, geology, physiology"
9,"leadership, interpersonal, ethic, communication, ethical, social, public_speaking, organizational, motivation, news, workplace, sociology, professional, group, journalism, sociological, leader, medium, generalist, behavior","social, communication, theory, practice, course, skill, group, professional, behavior, medium, individual, work, issue, ethical, organization, leadership, public, ethic, organizational, process","advertising_campaign, badminton, communicator, counseling_psychotherapy, creation_consumption, interpersonal_attraction, news_gathering, news_release, pr, print_broadcast, public_speaking, real_imagined, sequence_park, intergroup, interpersonal, leadership, letter_report, nonverbal, speech_talk, tennis","communication, social, leadership, organizational, counseling, behavior, medium, professional, interpersonal, ethic, ethical, skill, public, sport, human, public_speaking, group, organization, sociology, advertising"
10,"network, database, networking, gis, technology, information, protocol, cybersecurity, circuit, transportation, electrical, electronic, signal, retrieval, device, secure, internet, relational_database, storage, sql","system, information, technology, design, engineering, application, network, control, course, security, database, topic, use, architecture, internet, datum, process, electronic, material, introduction","concurrency_control, corrosion, crystalline, ethernet, aircraft, chip, cybersecurity, sql, switching, tcp_ip, vlsi, aacr, academic_integrity, amplifier, arcgis, authentication, automotive, bibliographic_control, cataloging_classification, cds_intermediate","information, system, database, design, engineering, network, technology, security, architecture, circuit, gis, networking, datum, electronic, control, internet, operating, library, user, management"
11,"international, government, macroeconomic, criminal, federal, crime, constitutional, legal, policy, criminal_justice, law_enforcement, party, judicial, trade, legislative, economy, welfare, law, right, economic","policy, economic, law, international, course, political, legal, issue, government, public, system, state, institution, economy, global, politic, role, right, national, process","antitrust, bilateral, campaign_election, congress, defendant, employment_negotiable, jurisdiction, lawsuit, legislative_executive, ngo, wto, contract_agency, crime, criminal, federal, federalism, foreign_sector, juvenile_justice, legislature, litigation","policy, international, economic, law, government, political, legal, politic, economy, macroeconomic, criminal_justice, criminal, institution, federal, american, public, constitutional, right, trade, crime"
12,"writing, spanish, grammar, vocabulary, essay, english, german, grammatical, linguistic, arabic, rhetoric, french, rhetorical, sentence, composition, expository, language, argumentation, listening, speech","writing, language, course, skill, reading, english, student, spanish, basic, composition, academic, essay, text, level, grammar, german, vocabulary, culture, introduction, class","argumentation, biblical_hebrew, hindi, sociolinguistic, vocabulary, actfl, argument_cornerstone, argumentative, argumentative_essay, asl, assignment_prewriting, audio_cassette, citation_rhetorical, common_academy, composing, concrete_real, conversational, deaf, drill, engl","writing, english, spanish, language, grammar, german, essay, french, reading, skill, rhetorical, vocabulary, linguistic, grammatical, composition, listening, japanese, arabic, rhetoric, italian"
13,"programming, algorithm, graphic, drawing, java, animation, camera, digital, computer, cs, artificial_intelligence, web, lighting, web_site, algorithmic, software, machine, user_interface, game, word_processing","computer, design, course, programming, technique, digital, student, software, concept, introduction, project, basic, language, application, tool, algorithm, structure, web, development, technical","adobe_photoshop, approximation_algorithm, artist_designer, authoring, autocad, construct_variable, csc, debugging_testing, exception_handling, graphics, greedy_algorithm, line_shape, list_tree, macintosh, parallel_computing, programming_greedy, pushdown_automaton, sorting_searching, tree_graph, algorithm","computer, programming, design, software, algorithm, digital, java, graphic, drawing, web, language, studio, project, data, machine, computing, object, visual, animation, cs"
14,"business, financial, accounting, marketing, firm, strategic, manager, managerial, financial_statement, profit, customer, competitive, pricing, asset, sale, valuation, cost, managerial_accounting, real_estate, fund","management, business, course, financial, accounting, marketing, principle, organization, analysis, market, planning, decision, strategy, concept, decision_making, resource, product, consumer, firm, operation","auditor, customer, managerial, retailing, revenue, staffing, value_money, financial, accountant, arbitrage, asset_liability, audit, auditing, balance_sheet, budgeting, buyer, buying, cash_receivables, ceo, commercial_bank","accounting, business, management, financial, marketing, market, financial_statement, firm, manager, finance, microeconomic, strategic, managerial, investment, cost, planning, decision_making, pricing, tax, marketing_mix"
15,"question, moral, philosophy, much, thing, philosophical, possible, answer, many, way, different, view, mind, insight, philosopher, sense, thought, deep, reason, one","world, course, question, way, different, life, theory, understanding, many, new, issue, approach, important, time, idea, philosophy, nature, problem, part, goal","epistemic, happiness, happy, right_wrong, utilitarianism, answer, archaeologist, epistemology, cause_prejudice, good_bad, metaphysics, relativism, ontological, obvious, unpredictable, determinism, stuff, phil, metaphysic, epistemological","question, way, world, philosophy, moral, people, philosophical, many, life, idea, new, thought, different, mind, philosopher, thing, sense, nature, argument, archaeology"
