"id","Topic7_Proportion","tokens","category","title","code","description","class"
"1013612303460",0.9490925556321,"calculus  continuation  math  definite_integral  application  calculus  transcendental_function  standard  technique  integration  sequence_serie  topic  application  definite_integral  derivative_integral  exponential_logarithmic  inverse_trigonometric  function  indeterminate_form  hospital  rule  hyperbolic  inverse  hyperbolic  function  technique  integration  polar_coordinate  plane_curve  infinite_serie","Natural Sciences","Calculus II","MATH 2644","A continuation of MATH 1634. The definite integral and applications, calculus of transcendental functions, standard techniques of integration, sequences and series. Topics: Applications of the definite integral, derivatives and integrals of exponential, logarithmic, and inverse trigonometric functions, indeterminate forms and l�Hospital's Rule, hyperbolic and inverse hyperbolic functions, techniques of integration, polar coordinates and plane curves, and infinite series.","Mathematics"
"10685878640446",0.951624234568393,"calculus  calculus  fundamental  concept  differentiation  application  introduction  integration  application  course  topic  chapter  text  chapter  topic  limit_continuity  derivative  arithmetic  differentiation  rule  chain  rule  implicit_differentiation  related  rate  curve_sketching  optimization  definite_integral  indefinite_integral  substitution  definite_indefinite  integral  area  curve  volume  revolution","Natural Sciences","CALCULUS I","MATH 2214","Calculus I primarily emphasizes the fundamental concept of the differentiation with applications, and an introduction to integration with applications. The course covers topics in five chapters in the text, namely chapters 2, 3, 4, 5, and 6. These topics include: limit, continuity, derivative, arithmetic differentiation rules, chain rule, implicit differentiation, related rates, curve sketching, optimization, definite integral, indefinite integral, substitution in definite and indefinite integrals, area between curves, and volumes of revolution.","Mathematics"
"11166914989887",0.967964709144516,"calculus  technique  application  integration  infinite  series  topic  topic  definite_integral  fundamental  theorem  calculus  application  definite_integral  technique  integration_improper  integral  sequence_serie  power  taylor_series  second  semester  calculus  course  theory  application  topic  definite_integral  fundamental  theorem  calculus  application  definite_integral  technique  integration_improper  integral  sequence_serie  power  taylor_series  second  semester  calculus  course  theory  application  topic  definite_integral  fundamental  theorem  calculus  application  definite_integral  technique  integration_improper  integral  sequence_serie  power  taylor_series","Natural Sciences","Calculus II","0086","To teach techniques and applications of integration and infinite series. Topics Covered: Topics include the definite integral and the Fundamental Theorem of Calculus, applications of the definite integral, techniques of integration, improper integrals and sequences and series, including power and Taylor series. This is a second semester calculus course that involves both theory and applications. Topics include the definite integral and the Fundamental Theorem of Calculus, applications of the definite integral, techniques of integration, improper integrals and sequences and series, including power and Taylor series. This is a second semester calculus course that involves both theory and applications. Topics include the definite integral and the Fundamental Theorem of Calculus, applications of the definite integral, techniques of integration, improper integrals and sequences and series, including power and Taylor series.","Mathematics"
"12197707131634",0.952026165302625,"intermediate  algebra  course  student  college  level  mathematic  course  topic  line  parabola  function  notation  integral  rational_exponent  absolute_value  quadratic_equation  inequality  radical  equation  problem_solving  linear  equation  quadratic_equation  system  equation  variable  equation  line  additional  topic  operation  radical  complex  number  geometric  concept  calculator  usage","Natural Sciences","Intermediate Algebra","Math 0098","This course is designed to prepare students for college level mathematics courses. Topics include graphing lines and parabolas, function notation, integral and rational exponents, solving absolute value and quadratic equations and inequalities, solving radical equations, problem solving involving linear equations, quadratic equations, and systems of equations in two variables, and writing equations of lines. Additional topics include operations with radicals and complex numbers, geometric concepts, and calculator usage.","Mathematics"
"12515534707744",0.955505809923861,"college  algebra  function  college  algebra  course  following  topic  function  functional  notation  domain  range  function  graph  function  relation  operation  function  inverse  function  linear_quadratic  rational  function  absolute_value  radical  function  exponential_logarithmic  property  function  equation  system  equation_inequality  application  function  curve_fitting  modeling  optimization  exponential_logarithmic  growth_decay","Natural Sciences","College Algebra","MAC 1105","Function-based college algebra course which will include the following topics: functions and functional notation; domains and ranges of functions; graphs of functions and relations; operations on functions; inverse functions; linear, quadratic, and rational functions; absolute value and radical functions; exponential and logarithmic properties, functions, and equations; systems of equations and inequalities; and applications of functions (curve fitting, modeling, optimization, exponential/logarithmic growth and decay).","Mathematics"
"14542759279419",0.957995919015291,"intermediate  algebra  intermediate  algebra  course  fundamental  concept  operation  algebra  beginning  introductory  course  usual  topic  intermediate  algebra  topic  algebraic  operation  real  number  linear  high  degree  equation  variable  inequality  absolute_value  factoring  operation  rational_exponent  expression  operation  radical  linear  equation  word  problem","Natural Sciences","Intermediate Algebra","MA 110","Intermediate Algebra is a course dealing with the fundamental concepts and operations of algebra. It starts “at the beginning,” but proceeds faster than an introductory course does, and covers the usual topics of intermediate algebra. These topics include algebraic operations with real numbers; linear and higher degree equations in one variable; inequalities and absolute value; factoring; operations with rational exponent expressions; operations with radicals; graphing linear equations; solving word problems.","Mathematics"
"14929306326910",0.967861826998278,"calculus  course  material  first  chapter  section  function  representation  catalog  essential  function  limit  function  limit_continuity  limit  infinity  derivative  rate  change  derivative  function  basic  differentiation  formula  product  quotient  rule  chain  rule  implicit_differentiation  related  rate  exponential  function  inverse  function  logarithm  derivative  logarithmic_exponential  function  exponential  growth_decay  inverse  trig  function  hyperbolic  function  indeterminate_form  hospital  rule  maximum_minimum  value  mean  value  theorem  shape  graph  optimization  problem  antiderivative","Natural Sciences","CALCULUS I","MATH-A257","The course material is concentrated in the first four chapters. The sections covered include the following: functions and their representations, a catalog of essential functions, the limit of a function, calculating limits, continuity, limits involving infinity, derivatives and rates of change, derivative as a function, basic differentiation formulas, product and quotient rules, the Chain Rule, implicit differentiation, related rates, exponential functions, inverse functions and logarithms, derivatives of logarithmic and exponential functions, exponential growth and decay, inverse trig functions, hyperbolic functions, indeterminate forms and l’Hospital’s Rule, maximum and minimum values, the Mean Value Theorem, shapes of graphs, optimization problems, antiderivatives.","Mathematics"
"15281493652634",0.954141852776664,"linear_algebra  math  first  course  linear_algebra  concrete  problem  system  linear  equation  gaussian_elimination  matrix  connection  property  matrix  solution  system  linear  equation  abstract  point_view  vector_space  span  linear  independence  dimension  connection  solution  system  linear  equation  last  topic  eigenvalue_eigenvector","Natural Sciences","Linear Algebra 1","Math 265","Math 265 is a first course in linear algebra. We will begin by studying the concrete problem of systems of linear equations. You will learn about Gaussian elimination, matrices and the connection between properties of matrices and solutions of systems of linear equations. Then, we will take a more abstract point of view, and learn about vector spaces, spans, linear independence and dimension, as well as their connection to solutions of systems of linear equations. The last topic we will cover will be eigenvalues and eigenvectors.","Mathematics"
"15573551436339",0.951914629623283,"calculus  second  course  basic  calculus  sequence  topic  vector  geometry  space  application  integration  integration  technique  hopital  rule  improper_integral  parametric_equation  polar_coordinate  conic_section  infinite_serie  second  course  part  basic  calculus  sequence  mathematic  physical  science  engineering  topic  includevector  geometry  space  application  integration  hospital  rule  improper_integral  infinite_serie  conic  plane_curve  parametric_equation  polar_coordinate","Natural Sciences","Calculus II","MATH 126","This is the second of three courses in the basic calculus sequence. Topics include vectors and the geometry of space, applications of integration, integration techniques, L'Hopital's Rule, improper integrals, parametric equations, polar coordinates, conic sections and infinite series. The second course in the three part basic calculus sequence for studentsmajoring in mathematics, physical sciences or engineering. Topics includevectors and the geometry of space, applications of integration, integrationtechniques, L'Hospital's Rule, improper integrals, infinite series,conics, plane curves, parametric equations and polar coordinates.","Mathematics"
"15771119934159",0.949236785629614,"calculus  continuation  math  definite_integral  application  calculus  transcendental_function  standard  technique  integration  sequence_serie  topic  application  definite_integral  derivative_integral  exponential_logarithmic  inverse_trigonometric  function  indeterminate_form  hospital  rule  hyperbolic  inverse  hyperbolic  function  technique  integration  polar_coordinate  plane_curve  infinite_serie","Natural Sciences","Calculus II","MATH 2644","A continuation of MATH 1634. The definite integral and applications, calculus of transcendental functions, standard techniques of integration, sequences and series. Topics: Applications of the definite integral, derivatives and integrals of exponential, logarithmic, and inverse trigonometric functions, indeterminate forms and l�Hospital's Rule, hyperbolic and inverse hyperbolic functions, techniques of integration, polar coordinates and plane curves, and infinite series.","Mathematics"
"1597727858449",0.952023441711393,"calculus  calculus  fundamental  concept  differentiation  application  introduction  integration  application  course  topic  chapter  text  chapter  topic  limit_continuity  derivative  arithmetic  differentiation  rule  chain  rule  implicit_differentiation  related  rate  curve_sketching  optimization  definite_integral  indefinite_integral  substitution  definite_indefinite  integral  area  curve  volume  revolution","Natural Sciences","CALCULUS I","MATH 2214","Calculus I primarily emphasizes the fundamental concept of the differentiation with applications, and an introduction to integration with applications. The course covers topics in five chapters in the text, namely chapters 2, 3, 4, 5, and 6. These topics include: limit, continuity, derivative, arithmetic differentiation rules, chain rule, implicit differentiation, related rates, curve sketching, optimization, definite integral, indefinite integral, substitution in definite and indefinite integrals, area between curves, and volumes of revolution.","Mathematics"
"16389595210948",0.951658224916737,"calculus  calculus  fundamental  concept  differentiation  application  introduction  integration  application  course  topic  chapter  text  chapter  topic  limit_continuity  derivative  arithmetic  differentiation  rule  chain  rule  implicit_differentiation  related  rate  curve_sketching  optimization  definite_integral  indefinite_integral  substitution  definite_indefinite  integral  area  curve  volume  revolution","Natural Sciences","CALCULUS I","MATH 2214","Calculus I primarily emphasizes the fundamental concept of the differentiation with applications, and an introduction to integration with applications. The course covers topics in five chapters in the text, namely chapters 2, 3, 4, 5, and 6. These topics include: limit, continuity, derivative, arithmetic differentiation rules, chain rule, implicit differentiation, related rates, curve sketching, optimization, definite integral, indefinite integral, substitution in definite and indefinite integrals, area between curves, and volumes of revolution.","Mathematics"
"17051020180389",0.951422812104312,"calculus  calculus  fundamental  concept  differentiation  application  introduction  integration  application  course  topic  chapter  text  chapter  topic  limit_continuity  derivative  arithmetic  differentiation  rule  chain  rule  implicit_differentiation  related  rate  curve_sketching  optimization  definite_integral  indefinite_integral  substitution  definite_indefinite  integral  area  curve  volume  revolution","Natural Sciences","CALCULUS I","MATH 2214","Calculus I primarily emphasizes the fundamental concept of the differentiation with applications, and an introduction to integration with applications. The course covers topics in five chapters in the text, namely chapters 2, 3, 4, 5, and 6. These topics include: limit, continuity, derivative, arithmetic differentiation rules, chain rule, implicit differentiation, related rates, curve sketching, optimization, definite integral, indefinite integral, substitution in definite and indefinite integrals, area between curves, and volumes of revolution.","Mathematics"
"25769826752",0.967964709144516,"calculus  technique  application  integration  infinite  series  topic  topic  definite_integral  fundamental  theorem  calculus  application  definite_integral  technique  integration_improper  integral  sequence_serie  power  taylor_series  second  semester  calculus  course  theory  application  topic  definite_integral  fundamental  theorem  calculus  application  definite_integral  technique  integration_improper  integral  sequence_serie  power  taylor_series  second  semester  calculus  course  theory  application  topic  definite_integral  fundamental  theorem  calculus  application  definite_integral  technique  integration_improper  integral  sequence_serie  power  taylor_series","Natural Sciences","Calculus II","0086","To teach techniques and applications of integration and infinite series. Topics Covered: Topics include the definite integral and the Fundamental Theorem of Calculus, applications of the definite integral, techniques of integration, improper integrals and sequences and series, including power and Taylor series. This is a second semester calculus course that involves both theory and applications. Topics include the definite integral and the Fundamental Theorem of Calculus, applications of the definite integral, techniques of integration, improper integrals and sequences and series, including power and Taylor series. This is a second semester calculus course that involves both theory and applications. Topics include the definite integral and the Fundamental Theorem of Calculus, applications of the definite integral, techniques of integration, improper integrals and sequences and series, including power and Taylor series.","Mathematics"
"3564822869509",0.951121015137683,"intermediate  algebra  course  chapter  topic  linear  equation_inequality  system  linear  equation  gaussian_elimination  quadratic_equation  polynomial_rational  expression  exponent_radical  function  graph  linear_quadratic  exponential  function  logarithm  polynomial  algebraic  fraction  modeling  problem_solving  sequence  conic_section  complex  number","Natural Sciences","Intermediate Algebra","Math 125","This course will cover chapters 1-10. Topics include linear equations and inequalities, systems of linear equations and Gaussian elimination, quadratic equations, polynomials and rational expressions, exponents, and radicals. Functions and their graphs, including linear, quadratic and exponential functions; logarithms, polynomials and algebraic fractions. Modeling and problem solving. Sequences, conic sections, and complex numbers.","Mathematics"
"395136995261",0.968447035343588,"calculus  course  material  first  chapter  section  function  representation  catalogue  essential  function  limit  function  limit_continuity  limit  infinity  derivative  rate  change  derivative  function  basic  differentiation  formula  product  quotient  rule  chain  rule  implicit_differentiation  related  rate  exponential  function  inverse  function  logarithm  derivative  logarithmic_exponential  function  exponential  growth_decay  inverse  trig  function  hyperbolic  function  indeterminate_form  hospital  rule  maximum_minimum  value  mean  value  theorem  shape  graph  optimization  problem  antiderivative","Natural Sciences","CALCULUS I","MATH-A257","The course material is concentrated in the first four chapters. The sections covered include the following: functions and their representations, a catalogue of essential functions, the limit of a function, calculating limits, continuity, limits involving infinity, derivatives and rates of change, derivative as a function, basic differentiation formulas, product and quotient rules, the Chain Rule, implicit differentiation, related rates, exponential functions, inverse functions and logarithms, derivatives of logarithmic and exponential functions, exponential growth and decay, inverse trig functions, hyperbolic functions, indeterminate forms and l’Hospital’s Rule, maximum and minimum values, the Mean Value Theorem, shapes of graphs, optimization problems, antiderivatives.","Mathematics"
"4054449131262",0.951836299020502,"intermediate  algebra  course  student  college  level  mathematic  topic  line  parabola  function  notation  integer_rational  exponent  absolute_value  quadratic_equation  inequality  radical  equation  problem_solving  linear  equation  quadratic_equation  system  equation  variable  equation  line  additional  topic  operation  radical  complex  number  geometric  concept  calculator  usage","Natural Sciences","Intermediate Algebra","MATH 0098","This course is designed to prepare students for college-level mathematics. Topics include graphing lines and parabolas; function notation; integer and rational exponents; solving absolute value and quadratic equations and inequalities; solving radical equations; problem solving involving linear equations, quadratic equations, and systems of equations in two variables; and writing equations of lines. Additional topics include operations with radicals and complex numbers, geometric concepts, and calculator usage.","Mathematics"
"4217657890481",0.949837152484005,"calculus  continuation  math  definite_integral  application  calculus  transcendental_function  standard  technique  integration  sequence_serie  topic  application  definite_integral  derivative_integral  exponential_logarithmic  inverse_trigonometric  function  indeterminate_form  hospital  rule  hyperbolic  inverse  hyperbolic  function  technique  integration  polar_coordinate  plane_curve  infinite_serie","Natural Sciences","Calculus II","MATH 2644","A continuation of MATH 1634. The definite integral and applications, calculus of transcendental functions, standard techniques of integration, sequences and series. Topics: Applications of the definite integral, derivatives and integrals of exponential, logarithmic, and inverse trigonometric functions, indeterminate forms and l�Hospital's Rule, hyperbolic and inverse hyperbolic functions, techniques of integration, polar coordinates and plane curves, and infinite series.","Mathematics"
"4372276720652",0.952055312711831,"intermediate  algebra  course  student  college  level  mathematic  course  topic  line  parabola  function  notation  integral  rational_exponent  absolute_value  quadratic_equation  inequality  radical  equation  problem_solving  linear  equation  quadratic_equation  system  equation  variable  equation  line  additional  topic  operation  radical  complex  number  geometric  concept  calculator  usage","Natural Sciences","Intermediate Algebra","Math 0098","This course is designed to prepare students for college level mathematics courses. Topics include graphing lines and parabolas, function notation, integral and rational exponents, solving absolute value and quadratic equations and inequalities, solving radical equations, problem solving involving linear equations, quadratic equations, and systems of equations in two variables, and writing equations of lines. Additional topics include operations with radicals and complex numbers, geometric concepts, and calculator usage.","Mathematics"
"5291399719131",0.952118456425123,"calculus  calculus  fundamental  concept  differentiation  application  introduction  integration  application  course  topic  chapter  text  chapter  topic  limit_continuity  derivative  arithmetic  differentiation  rule  chain  rule  implicit_differentiation  related  rate  curve_sketching  optimization  definite_integral  indefinite_integral  substitution  definite_indefinite  integral  area  curve  volume  revolution","Natural Sciences","CALCULUS I","MATH 2214","Calculus I primarily emphasizes the fundamental concept of the differentiation with applications, and an introduction to integration with applications. The course covers topics in five chapters in the text, namely chapters 2, 3, 4, 5, and 6. These topics include: limit, continuity, derivative, arithmetic differentiation rules, chain rule, implicit differentiation, related rates, curve sketching, optimization, definite integral, indefinite integral, substitution in definite and indefinite integrals, area between curves, and volumes of revolution.","Mathematics"
"5523327945059",0.956874344534832,"linear_algebra  math  first  course  linear_algebra  concrete  problem  system  linear  equation  gaussian_elimination  matrix  connection  property  matrix  solution  system  linear  equation  application  matrix  abstract  point_view  vector_space  span  linear  independence  dimension  connection  matrix  solution  system  linear  equation  last  topic  eigenvalue_eigenvector","Natural Sciences","Linear Algebra 1","Math 265","Math 265 is a first course in linear algebra. We will begin by studying the concrete problem of systems of linear equations. You will learn about Gaussian elimination, matrices and the connection between properties of matrices and solutions of systems of linear equations. We will also discuss some applications of matrices. Next, we will take a more abstract point of view, and learn about vector spaces, spans, linear independence and dimension, as well as their connection to matrices and solutions of systems of linear equations. The last topic we will cover will be eigenvalues and eigenvectors.","Mathematics"
"5592047421518",0.949469548863712,"calculus  continuation  math  definite_integral  application  calculus  transcendental_function  standard  technique  integration  sequence_serie  topic  application  definite_integral  derivative_integral  exponential_logarithmic  inverse_trigonometric  function  indeterminate_form  hospital  rule  hyperbolic  inverse  hyperbolic  function  technique  integration  polar_coordinate  plane_curve  infinite_serie","Natural Sciences","Calculus II","MATH 2644","A continuation of MATH 1634. The definite integral and applications, calculus of transcendental functions, standard techniques of integration, sequences and series. Topics: Applications of the definite integral, derivatives and integrals of exponential, logarithmic, and inverse trigonometric functions, indeterminate forms and l�Hospital's Rule, hyperbolic and inverse hyperbolic functions, techniques of integration, polar coordinates and plane curves, and infinite series.","Mathematics"
"5909875010733",0.968739950520621,"calculus  course  material  first  chapter  section  function  representation  catalogue  essential  function  limit  function  limit_continuity  limit  infinity  derivative  rate  change  derivative  function  basic  differentiation  formula  product  quotient  rule  chain  rule  implicit_differentiation  related  rate  exponential  function  inverse  function  logarithm  derivative  logarithmic_exponential  function  exponential  growth_decay  inverse  trig  function  hyperbolic  function  indeterminate_form  hospital  rule  maximum_minimum  value  mean  value  theorem  shape  graph  optimization  problem  antiderivative","Natural Sciences","CALCULUS I","MATH-A257","The course material is concentrated in the first four chapters. The sections covered include the following: functions and their representations, a catalogue of essential functions, the limit of a function, calculating limits, continuity, limits involving infinity, derivatives and rates of change, derivative as a function, basic differentiation formulas, product and quotient rules, the Chain Rule, implicit differentiation, related rates, exponential functions, inverse functions and logarithms, derivatives of logarithmic and exponential functions, exponential growth and decay, inverse trig functions, hyperbolic functions, indeterminate forms and l’Hospital’s Rule, maximum and minimum values, the Mean Value Theorem, shapes of graphs, optimization problems, antiderivatives.","Mathematics"
